school_name,total_enrollment,percent_students_with_disabilities,percent_english_learners,percent_poverty
47 The American Sign Language and English Secondar,176.6,27.56,6.12,86.08
A. Philip Randolph Campus High School,1394.8,13.2,9.94,83.7
A.C.E. Academy for Scholars at the Geraldine Ferra,469.8,10.3,8.18,65.5
ACORN Community High School,391.0,27.08,4.16,83.88
Abraham Lincoln High School,2161.8,15.48,15.88,72.0
Academic Leadership Charter School,488.0,11.24,11.86,94.02
Academy For Personal Leadership And Excellence,464.6,24.16,33.459999999999994,94.98
Academy for Careers in Television and Film,528.0,19.440000000000005,2.14,61.94
Academy for College Preparation and Career Explora,464.4,17.26,9.04,80.67999999999998
Academy for Conservation and the Environment,290.0,20.76,9.12,80.84
Academy for Environmental Leadership,312.2,23.72,36.2,71.14
Academy for Health Careers,361.4,15.48,3.98,84.86
Academy for Language and Technology,314.2,5.94,71.62,97.76
Academy for New Americans,143.2,0.7,99.6,95.64
Academy for Scholarship and Entrepreneurship: A Co,387.2,23.22000000000001,6.74,77.82000000000002
Academy for Social Action,186.8,28.18,22.7,83.03999999999998
Academy for Software Engineering,390.8,23.82,3.18,71.78
Academy for Young Writers,549.0,18.46,1.66,78.54
Academy of American Studies,922.2,8.84,3.22,70.72
Academy of Applied Mathematics and Technology,301.6,25.4,11.24,91.86
Academy of Arts and Letters,507.0,19.16,0.64,32.260000000000005
Academy of Finance and Enterprise,524.8,11.98,5.2799999999999985,81.46000000000002
Academy of Hospitality and Tourism,242.2,22.14,17.82,87.85999999999999
Academy of Innovative Technology,414.0,23.72,9.84,82.62
Academy of Medical Technology: A College Board Sch,632.0,16.259999999999998,12.78,77.58
Academy of Public Relations,306.0,27.14,26.48,85.0
Academy of the City Charter School,376.0,11.52,13.18,73.44000000000003
Accion Academy,152.8,31.08,16.360000000000007,88.24
Achievement First Apollo Charter School,663.2,9.32,6.760000000000002,86.16
Achievement First Aspire Charter School,362.8,11.28,3.4800000000000004,85.88000000000002
Achievement First Brownsville Charter School,825.8,11.62,1.54,84.5
Achievement First Bushwick Charter School,1041.6,15.24,8.540000000000001,85.86
Achievement First Crown Heights Charter School,1006.6,14.28,0.18,75.96000000000002
Achievement First East New York Charter School,836.8,12.12,1.2399999999999998,85.1
Achievement First Endeavor Charter School,983.4,14.76,0.5399999999999999,81.22
Achievement First Linden Elementary School,308.5,10.15,1.45,86.75
Achievement First North Brooklyn Prep Charter Scho,285.75,15.3,18.2,88.97500000000002
Achievement First Voyager Charter School,126.5,17.45,0.55,75.05
Albert Shanker School for Visual and Performing Ar,592.0,20.16,12.760000000000002,90.28
Alfred E. Smith Career and Technical Education Hig,417.4,28.5,20.96,90.5
All City Leadership Secondary School,384.8,6.7200000000000015,1.6200000000000003,88.58000000000001
Amber Charter School,486.6,15.12,5.82,85.4
Amber Charter School II,271.0,12.5,10.0,59.4
American Dream Charter School,208.25,20.95,23.625,94.4
Amistad Dual Language School,421.8,13.7,23.44,78.46
Ampark Neighborhood,380.6,15.38,3.5,50.38
Andries Hudde,830.4,17.48,11.0,82.22
Antonia Pantoja Preparatory Academy: A College Boa,431.0,26.94,12.48,70.21999999999998
Archer Elementary School,488.4,24.58,21.72,96.12
"Archimedes Academy for Math, Science and Technolog",666.4,25.82,7.62,81.28
Art and Design High School,1450.0,18.12,1.06,66.5
Arturo A. Schomburg Satellite Academy Bronx,194.6,11.6,8.46,81.25999999999998
Aspirations Diploma Plus High School,234.0,18.52,3.26,80.3
Astor Collegiate Academy,478.2,23.72,5.800000000000002,80.02000000000002
Atmosphere Charter School,258.0,25.0,13.766666666666666,84.66666666666667
August Martin High School,541.4,21.059999999999995,6.3,77.76
Automotive High School,382.2,31.42,8.580000000000002,79.7
Aviation Career & Technical Education High School,2149.0,10.580000000000002,2.54,52.42
BELL Academy,369.4,19.62,2.34,49.06
Baccalaureate School for Global Education,504.4,2.14,0.38,42.58
"Ballet Tech, NYC Public School for Dance",148.4,3.12,1.08,57.88
Bard High School Early College,555.2,2.1,0.12000000000000002,38.9
Bard High School Early College Queens,608.6,1.7,0.06,43.02
Baruch College Campus High School,447.0,12.12,0.26,52.28
Battery Park City School,856.2,16.54,2.5,9.84
Baychester Academy,422.2,19.84,3.5,85.97999999999998
Baychester Middle School,294.0,23.18,4.2200000000000015,82.8
Bayside High School,3217.6,15.6,5.56,74.0
Beacon High School,1310.2,7.1400000000000015,0.16,26.32
Bedford Academy High School,361.6,11.500000000000002,0.82,65.0
Bedford Park Elementary School,237.5,13.175,26.4,88.55
Bedford Stuyvesant Collegiate Charter School,388.2,13.9,2.66,73.04
Bedford Stuyvesant New Beginnings Charter School,579.4,17.380000000000006,9.52,90.6
Bedford Stuyvesant Preparatory High School,132.8,5.94,1.56,79.94
Beginning with Children Charter School II,251.2,15.860000000000005,18.74,89.72
Belmont Preparatory High School,412.6,18.74,8.88,88.06000000000002
Benjamin Banneker Academy,895.8,9.32,0.48,60.0
Benjamin Franklin High School for Finance & Inform,257.5,16.3,9.25,83.0
Benjamin N. Cardozo High School,3644.4,11.760000000000002,4.840000000000002,57.62000000000001
Blueprint Middle School,295.4,22.059999999999995,15.86,84.78
Boys Preparatory Charter School of New York,236.0,21.625,5.75,90.325
Boys and Girls High School,559.0,28.059999999999995,4.84,78.11999999999998
Brighter Choice Community School,217.0,15.940000000000005,3.56,85.62
Brilla College Prep Charter School,353.0,18.82,21.9,87.98
Brilla Veritas Charter School,114.0,14.0,37.7,95.6
Bronx Academy for Software Engineering (BASE),305.6,28.6,7.92,71.67999999999998
Bronx Academy of Health Careers,441.0,23.160000000000004,10.8,71.2
Bronx Academy of Promise Charter School,574.2,14.18,18.82,76.44000000000003
Bronx Aerospace High School,387.2,30.28,13.16,73.97999999999998
Bronx Alliance Middle School,262.8,23.94,7.32,81.52000000000002
Bronx Arena High School,215.2,7.7200000000000015,3.24,81.85999999999999
Bronx Bridges High School,326.8,13.04,81.3,72.9
Bronx Career and College Preparatory High School,305.8,27.540000000000006,16.419999999999998,88.27999999999999
Bronx Center for Science and Mathematics,459.8,19.96,4.7,86.05999999999997
Bronx Charter School for Better Learning,506.4,9.02,1.98,80.74
Bronx Charter School for Better Learning II,149.0,8.166666666666666,3.9333333333333336,80.33333333333333
Bronx Charter School for Children,427.4,13.080000000000002,17.580000000000002,90.32
Bronx Charter School for Excellence,720.8,10.1,7.26,76.5
Bronx Charter School for Excellence 3,148.0,4.7,8.8,65.5
Bronx Charter School for Excellence II,149.0,11.15,16.1,78.2
Bronx Charter School for the Arts,318.4,18.92,13.72,79.3
Bronx Collaborative High School,341.4,21.68,18.62,87.1
Bronx Collegiate Academy,387.2,24.5,25.22,76.94000000000003
Bronx Community Charter School,410.8,19.02,14.94,84.38000000000002
Bronx Community High School,178.8,13.5,3.88,69.52000000000001
Bronx Compass High School,378.6,27.32,8.040000000000001,71.36
Bronx Dance Academy School,265.2,20.74,7.039999999999999,88.42
Bronx Delta School,177.0,14.975,7.725,75.3
Bronx Design and Construction Academy,526.8,26.72,15.78,90.7
Bronx Early College Academy for Teaching & Learnin,517.2,18.22,12.48,87.52000000000002
Bronx Engineering and Technology Academy,409.8,23.379999999999995,12.36,89.53999999999998
Bronx Envision Academy,364.0,22.9,12.94,87.34
Bronx Global Learning Institute for Girls Charter,407.2,11.36,11.38,87.18
Bronx Green Middle School,398.8,23.0,17.68,93.64
Bronx Haven High School,182.4,23.02,5.34,79.8
Bronx Health Sciences High School,337.8,10.760000000000002,5.12,75.75999999999998
Bronx High School for Law and Community Service,405.0,26.22,14.06,89.92
Bronx High School for Medical Science,440.6,14.8,7.2799999999999985,74.52000000000002
Bronx High School for Writing and Communication Ar,365.6,23.84,9.48,64.34
Bronx High School for the Visual Arts,480.8,28.02,3.9,76.02000000000002
Bronx High School of Business,315.6,24.44,33.779999999999994,74.44
Bronx International High School,407.0,3.88,88.94,92.46
Bronx Lab School,439.4,23.52,10.419999999999998,71.32
Bronx Latin,554.6,24.9,14.06,94.28
Bronx Leadership Academy High School,662.2,26.820000000000004,14.080000000000002,88.24
Bronx Leadership Academy II High School,505.4,25.860000000000007,15.82,92.02
Bronx Lighthouse Charter School,659.0,15.46,7.32,86.12
Bronx Little School,337.6,22.46,12.78,91.58
Bronx Park Middle School,372.4,19.380000000000006,17.02,85.0
Bronx Preparatory Charter School,709.8,12.179999999999998,6.2799999999999985,85.67999999999998
Bronx Regional High School,248.4,14.36,10.34,82.75999999999998
Bronx River High School,283.4,23.94,15.62,76.94000000000003
"Bronx School for Law, Government and Justice",773.6,19.9,7.039999999999999,91.38
Bronx School of Law and Finance,406.8,23.92,13.52,83.9
Bronx Studio School for Writers and Artists,594.8,25.82,13.06,79.03999999999998
Bronx Theatre High School,406.0,23.6,9.12,85.6
Bronx Writing Academy,462.0,21.52,27.920000000000005,94.06
Bronxdale High School,418.2,21.0,5.639999999999999,84.0
Brooklyn Academy High School,158.2,24.2,0.0,86.22
Brooklyn Academy of Science and the Environment,423.2,16.880000000000006,6.18,81.74000000000002
Brooklyn Arbor Elementary School,511.2,20.98,8.9,66.52
Brooklyn Arts and Science Elementary School,348.0,25.28,10.1,67.0
Brooklyn Ascend Charter School,1136.2,12.28,0.86,78.23999999999998
Brooklyn Bridge Academy,193.0,21.54,4.92,82.2
Brooklyn Brownstone School,237.4,14.28,0.22000000000000006,69.36
Brooklyn Charter School,234.2,11.66,5.460000000000001,77.22
Brooklyn College Academy,611.8,7.88,0.32,71.17999999999998
Brooklyn Collegiate: A College Board School,324.8,23.74,3.64,89.0
Brooklyn Community Arts & Media High School (BCAM),403.8,22.18,3.88,84.28
Brooklyn Democracy Academy,211.8,21.32,3.56,69.66
Brooklyn Dreams Charter School,615.2,15.3,7.38,67.61999999999999
Brooklyn East Collegiate Charter School,336.4,14.96,2.06,79.94000000000003
Brooklyn Emerging Leaders Academy,64.0,25.0,3.1,82.8
Brooklyn Environmental Exploration School (BEES),87.0,33.2,4.34,90.74
Brooklyn Excelsior Charter School,671.4,13.32,2.6,79.67999999999998
Brooklyn Frontiers High School,174.4,47.17999999999999,4.38,89.23999999999998
Brooklyn Gardens Elementary School,266.2,26.68,7.2,93.92
Brooklyn Generation School,247.8,22.62,7.62,78.84
Brooklyn High School for Law and Technology,603.2,20.380000000000006,3.44,83.04
Brooklyn High School for Leadership and Community,218.0,18.16,4.28,81.06
Brooklyn High School of the Arts,868.4,12.72,1.12,74.25999999999998
Brooklyn Institute for Liberal Arts,303.2,17.9,5.96,89.16
Brooklyn International High School,353.0,2.92,79.55999999999997,62.25999999999999
Brooklyn LAB Charter School,370.0,25.2,1.825,59.375
Brooklyn Lab School,348.2,21.4,20.02,84.38
Brooklyn Landmark Elementary School,243.0,20.28,3.98,87.46
"Brooklyn Latin School, The",666.8,2.4400000000000004,0.12,63.48
Brooklyn Preparatory High School,506.8,17.46,2.9199999999999995,82.66
Brooklyn Prospect Charter School,809.2,17.779999999999994,1.6,38.78
Brooklyn Prospect Charter School Downtown,304.5,13.15,0.9,46.1
Brooklyn Scholars Charter School,655.8,9.419999999999998,0.8,66.47999999999999
Brooklyn School for Music & Theatre,349.0,17.82,1.3,82.88
Brooklyn School of Inquiry,498.2,6.76,6.719999999999999,20.840000000000003
Brooklyn Science and Engineering Academy,177.25,16.325000000000006,2.225,79.1
Brooklyn Secondary School for Collaborative Studie,676.4,32.879999999999995,6.26,71.4
